"unidade";"equipe";"cd_grupo_cid";"nm_grupo_cid";"consultas"
"CS ABRAAO";"571";"A00-A09";"DOENÇAS INFECCIOSAS INTESTINAIS";"80"
"CS ABRAAO";"572";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1041"
"CS ABRAAO";"572";"I10-I15";"DOENÇAS HIPERTENSIVAS";"600"
"CS ABRAAO";"572";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"216"
"CS ABRAAO";"572";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"178"
"CS ABRAAO";"572";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"174"
"CS ABRAAO";"572";"E10-E14";"DIABETES MELLITUS";"168"
"CS ABRAAO";"572";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"101"
"CS ABRAAO";"572";"R50-R69";"SINTOMAS E SINAIS GERAIS";"99"
"CS ABRAAO";"572";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"68"
"CS ABRAAO";"572";"M50-M54";"OUTRAS DORSOPATIAS";"64"
"CS AGRONOMICA";"690";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"599"
"CS AGRONOMICA";"690";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"567"
"CS AGRONOMICA";"690";"I10-I15";"DOENÇAS HIPERTENSIVAS";"507"
"CS AGRONOMICA";"690";"E10-E14";"DIABETES MELLITUS";"264"
"CS AGRONOMICA";"690";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"248"
"CS AGRONOMICA";"690";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"165"
"CS AGRONOMICA";"690";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"148"
"CS AGRONOMICA";"690";"M60-M63";"TRANSTORNOS MUSCULARES";"117"
"CS AGRONOMICA";"690";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"115"
"CS AGRONOMICA";"690";"A00-A09";"DOENÇAS INFECCIOSAS INTESTINAIS";"112"
"CS AGRONOMICA";"691";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"646"
"CS AGRONOMICA";"691";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"603"
"CS AGRONOMICA";"691";"I10-I15";"DOENÇAS HIPERTENSIVAS";"537"
"CS AGRONOMICA";"691";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"267"
"CS AGRONOMICA";"691";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"212"
"CS AGRONOMICA";"691";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"175"
"CS AGRONOMICA";"691";"E10-E14";"DIABETES MELLITUS";"154"
"CS AGRONOMICA";"691";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"151"
"CS AGRONOMICA";"691";"A00-A09";"DOENÇAS INFECCIOSAS INTESTINAIS";"121"
"CS AGRONOMICA";"691";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"84"
"CS AGRONOMICA";"692";"I10-I15";"DOENÇAS HIPERTENSIVAS";"475"
"CS AGRONOMICA";"692";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"473"
"CS AGRONOMICA";"692";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"419"
"CS AGRONOMICA";"692";"E10-E14";"DIABETES MELLITUS";"183"
"CS AGRONOMICA";"692";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"104"
"CS AGRONOMICA";"692";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"98"
"CS AGRONOMICA";"692";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"85"
"CS AGRONOMICA";"692";"R50-R69";"SINTOMAS E SINAIS GERAIS";"77"
"CS AGRONOMICA";"692";"M50-M54";"OUTRAS DORSOPATIAS";"74"
"CS AGRONOMICA";"692";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"64"
"CS AGRONOMICA";"693";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"791"
"CS AGRONOMICA";"693";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"549"
"CS AGRONOMICA";"693";"I10-I15";"DOENÇAS HIPERTENSIVAS";"419"
"CS AGRONOMICA";"693";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"145"
"CS AGRONOMICA";"693";"E10-E14";"DIABETES MELLITUS";"121"
"CS AGRONOMICA";"693";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"119"
"CS AGRONOMICA";"693";"R50-R69";"SINTOMAS E SINAIS GERAIS";"101"
"CS AGRONOMICA";"693";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"93"
"CS AGRONOMICA";"693";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"78"
"CS AGRONOMICA";"693";"M50-M54";"OUTRAS DORSOPATIAS";"77"
"CS AGRONOMICA";"694";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"943"
"CS AGRONOMICA";"694";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"588"
"CS AGRONOMICA";"694";"I10-I15";"DOENÇAS HIPERTENSIVAS";"485"
"CS AGRONOMICA";"694";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"153"
"CS AGRONOMICA";"694";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"123"
"CS AGRONOMICA";"694";"M50-M54";"OUTRAS DORSOPATIAS";"113"
"CS AGRONOMICA";"694";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"107"
"CS AGRONOMICA";"694";"E10-E14";"DIABETES MELLITUS";"106"
"CS AGRONOMICA";"694";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"105"
"CS AGRONOMICA";"694";"R50-R69";"SINTOMAS E SINAIS GERAIS";"103"
"CS AGRONOMICA";"695";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"354"
"CS AGRONOMICA";"695";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"306"
"CS AGRONOMICA";"695";"I10-I15";"DOENÇAS HIPERTENSIVAS";"230"
"CS AGRONOMICA";"695";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"210"
"CS AGRONOMICA";"695";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"119"
"CS AGRONOMICA";"695";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"105"
"CS AGRONOMICA";"695";"M50-M54";"OUTRAS DORSOPATIAS";"96"
"CS AGRONOMICA";"695";"R50-R69";"SINTOMAS E SINAIS GERAIS";"92"
"CS AGRONOMICA";"695";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"76"
"CS AGRONOMICA";"695";"E10-E14";"DIABETES MELLITUS";"71"
"CS ALTO RIBEIRAO";"210";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"966"
"CS ALTO RIBEIRAO";"210";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"823"
"CS ALTO RIBEIRAO";"210";"I10-I15";"DOENÇAS HIPERTENSIVAS";"585"
"CS ALTO RIBEIRAO";"210";"E10-E14";"DIABETES MELLITUS";"175"
"CS ALTO RIBEIRAO";"210";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"153"
"CS ALTO RIBEIRAO";"210";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"143"
"CS ALTO RIBEIRAO";"210";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"134"
"CS ALTO RIBEIRAO";"210";"R50-R69";"SINTOMAS E SINAIS GERAIS";"98"
"CS ALTO RIBEIRAO";"210";"N30-N39";"OUTRAS DOENÇAS DO APARELHO URINÁRIO";"93"
"CS ALTO RIBEIRAO";"210";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"90"
"CS ALTO RIBEIRAO";"211";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"675"
"CS ALTO RIBEIRAO";"211";"I10-I15";"DOENÇAS HIPERTENSIVAS";"494"
"CS ALTO RIBEIRAO";"211";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"410"
"CS ALTO RIBEIRAO";"211";"E10-E14";"DIABETES MELLITUS";"151"
"CS ALTO RIBEIRAO";"211";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"81"
"CS ALTO RIBEIRAO";"211";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"81"
"CS ALTO RIBEIRAO";"211";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"72"
"CS ALTO RIBEIRAO";"211";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"67"
"CS ALTO RIBEIRAO";"211";"M50-M54";"OUTRAS DORSOPATIAS";"66"
"CS ALTO RIBEIRAO";"211";"R50-R69";"SINTOMAS E SINAIS GERAIS";"65"
"CS ALTO RIBEIRAO";"212";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"632"
"CS ALTO RIBEIRAO";"212";"I10-I15";"DOENÇAS HIPERTENSIVAS";"296"
"CS ALTO RIBEIRAO";"212";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"275"
"CS ALTO RIBEIRAO";"212";"E10-E14";"DIABETES MELLITUS";"82"
"CS ALTO RIBEIRAO";"212";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"72"
"CS ALTO RIBEIRAO";"212";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"57"
"CS ALTO RIBEIRAO";"212";"M70-M79";"OUTROS TRANSTORNOS DOS TECIDOS MOLES";"56"
"CS ALTO RIBEIRAO";"212";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"51"
"CS ALTO RIBEIRAO";"212";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"48"
"CS ALTO RIBEIRAO";"212";"M50-M54";"OUTRAS DORSOPATIAS";"45"
"CS ARMACAO";"240";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"945"
"CS ARMACAO";"240";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"697"
"CS ARMACAO";"240";"I10-I15";"DOENÇAS HIPERTENSIVAS";"456"
"CS ARMACAO";"240";"E10-E14";"DIABETES MELLITUS";"171"
"CS ARMACAO";"240";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"145"
"CS ARMACAO";"240";"R50-R69";"SINTOMAS E SINAIS GERAIS";"126"
"CS ARMACAO";"240";"M50-M54";"OUTRAS DORSOPATIAS";"98"
"CS ARMACAO";"240";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"95"
"CS ARMACAO";"240";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"83"
"CS ARMACAO";"240";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"82"
"CS ARMACAO";"241";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1033"
"CS ARMACAO";"241";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"355"
"CS ARMACAO";"241";"I10-I15";"DOENÇAS HIPERTENSIVAS";"251"
"CS ARMACAO";"241";"E10-E14";"DIABETES MELLITUS";"132"
"CS ARMACAO";"241";"M70-M79";"OUTROS TRANSTORNOS DOS TECIDOS MOLES";"96"
"CS ARMACAO";"241";"R50-R69";"SINTOMAS E SINAIS GERAIS";"93"
"CS ARMACAO";"241";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"86"
"CS ARMACAO";"241";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"74"
"CS ARMACAO";"241";"M50-M54";"OUTRAS DORSOPATIAS";"71"
"CS ARMACAO";"241";"F40-F48";"TRANSTORNOS NEURÓTICOS, TRANSTORNOS RELACIONADOS COM O ""STRESS"" E TRANSTORNOS SOMATOFORMES";"58"
"CS ARMACAO";"242";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"2"
"CS ARMACAO";"242";"A50-A64";"INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL";"1"
"CS ARMACAO";"242";"B25-B34";"OUTRAS DOENÇAS POR VÍRUS";"1"
"CS ARMACAO";"242";"L60-L75";"AFECÇÕES DOS ANEXOS DA PELE";"1"
"CS ARMACAO";"242";"R40-R46";"SINTOMAS E SINAIS RELATIVOS À COGNIÇÃO, À PERCEPÇÃO, AO ESTADO EMOCIONAL E AO COMPORTAMENTO";"1"
"CS ARMACAO";"242";"R50-R69";"SINTOMAS E SINAIS GERAIS";"1"
"CS ARMACAO";"242";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"1"
"CS ARMACAO";"242";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"1"
"CS BALNEARIO";"20";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"954"
"CS BALNEARIO";"20";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"883"
"CS BALNEARIO";"20";"I10-I15";"DOENÇAS HIPERTENSIVAS";"536"
"CS BALNEARIO";"20";"E10-E14";"DIABETES MELLITUS";"144"
"CS BALNEARIO";"20";"F30-F39";"TRANSTORNOS DO HUMOR [AFETIVOS]";"137"
"CS BALNEARIO";"20";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"103"
"CS BALNEARIO";"20";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"86"
"CS BALNEARIO";"20";"L80-L99";"OUTRAS AFECÇÕES DA PELE E DO TECIDO SUBCUTÂNEO";"75"
"CS BALNEARIO";"20";"R50-R69";"SINTOMAS E SINAIS GERAIS";"67"
"CS BALNEARIO";"20";"G40-G47";"TRANSTORNOS EPISÓDICOS E PAROXÍSTICOS";"65"
"CS BALNEARIO";"21";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"2114"
"CS BALNEARIO";"21";"I10-I15";"DOENÇAS HIPERTENSIVAS";"612"
"CS BALNEARIO";"21";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"325"
"CS BALNEARIO";"21";"E10-E14";"DIABETES MELLITUS";"321"
"CS BALNEARIO";"21";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"255"
"CS BALNEARIO";"21";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"164"
"CS BALNEARIO";"21";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"77"
"CS BALNEARIO";"21";"B20-B24";"DOENÇAS PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV]";"64"
"CS BALNEARIO";"21";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"64"
"CS BALNEARIO";"21";"A00-A09";"DOENÇAS INFECCIOSAS INTESTINAIS";"51"
"CS BARRA DA LAGOA";"440";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"784"
"CS BARRA DA LAGOA";"440";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"503"
"CS BARRA DA LAGOA";"440";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"242"
"CS BARRA DA LAGOA";"440";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"190"
"CS BARRA DA LAGOA";"440";"R50-R69";"SINTOMAS E SINAIS GERAIS";"144"
"CS BARRA DA LAGOA";"440";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"127"
"CS BARRA DA LAGOA";"440";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"124"
"CS BARRA DA LAGOA";"440";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"123"
"CS BARRA DA LAGOA";"440";"I10-I15";"DOENÇAS HIPERTENSIVAS";"121"
"CS BARRA DA LAGOA";"440";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"106"
"CS BARRA DA LAGOA";"441";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1158"
"CS BARRA DA LAGOA";"441";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"626"
"CS BARRA DA LAGOA";"441";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"270"
"CS BARRA DA LAGOA";"441";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"232"
"CS BARRA DA LAGOA";"441";"I10-I15";"DOENÇAS HIPERTENSIVAS";"163"
"CS BARRA DA LAGOA";"441";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"138"
"CS BARRA DA LAGOA";"441";"R50-R69";"SINTOMAS E SINAIS GERAIS";"119"
"CS BARRA DA LAGOA";"441";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"115"
"CS BARRA DA LAGOA";"441";"A00-A09";"DOENÇAS INFECCIOSAS INTESTINAIS";"114"
"CS BARRA DA LAGOA";"441";"A90-A99";"FEBRES POR ARBOVÍRUS E FEBRES HEMORRÁGICAS VIRAIS";"96"
"CS BARRA DA LAGOA";"442";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"772"
"CS BARRA DA LAGOA";"442";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"431"
"CS BARRA DA LAGOA";"442";"I10-I15";"DOENÇAS HIPERTENSIVAS";"200"
"CS BARRA DA LAGOA";"442";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"138"
"CS BARRA DA LAGOA";"442";"B95-B97";"AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS";"128"
"CS BARRA DA LAGOA";"442";"R00-R09";"SINTOMAS E SINAIS RELATIVOS AO APARELHO CIRCULATÓRIO E RESPIRATÓRIO";"114"
"CS BARRA DA LAGOA";"442";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"88"
"CS BARRA DA LAGOA";"442";"R50-R69";"SINTOMAS E SINAIS GERAIS";"83"
"CS BARRA DA LAGOA";"442";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"72"
"CS BARRA DA LAGOA";"442";"E10-E14";"DIABETES MELLITUS";"68"
"CS CACHOEIRA DO BOM JESUS";"400";"Z70-Z76";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM OUTRAS CIRCUNSTÂNCIAS";"1202"
"CS CACHOEIRA DO BOM JESUS";"400";"Z00-Z13";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA EXAME E INVESTIGAÇÃO";"649"
"CS CACHOEIRA DO BOM JESUS";"400";"I10-I15";"DOENÇAS HIPERTENSIVAS";"202"
"CS CACHOEIRA DO BOM JESUS";"400";"J00-J06";"INFECÇÕES AGUDAS DAS VIAS AÉREAS SUPERIORES";"152"
"CS CACHOEIRA DO BOM JESUS";"400";"Z30-Z39";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE EM CIRCUNSTÂNCIAS RELACIONADAS COM A REPRODUÇÃO";"103"
"CS CACHOEIRA DO BOM JESUS";"400";"R10-R19";"SINTOMAS E SINAIS RELATIVOS AO APARELHO DIGESTIVO E AO ABDOME";"101"
"CS CACHOEIRA DO BOM JESUS";"400";"Z40-Z54";"PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS";"101"
