CD_CID;DS_CID;CD_SUBGRUPO;DS_SUBGRUPO;CD_GRUPO;DS_GRUPO;CD_CAPITULO;DS_CAPITULO
P102;HEMORRAGIA INTRAVENTRICULAR DEV TRAUM PARTO;P10;LACERACAO INTRACRAN HEMORRAG DEV TRAUM PARTO;P10-P15;TRAUMATISMO DE PARTO;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
C63;NEOPL MALIG OUTR ORG GENIT MASC E NE;C63;NEOPL MALIG OUTR ORG GENIT MASC E NE;C60-C63;NEOPLASIAS [TUMORES] MALIGNAS(OS) DOS ÓRGÃOS GENITAIS MASCULINOS;2;NEOPLASIAS [TUMORES]
N959;TRANST NE DA MENOPAUSA E DA PERIMENOPAUSA;N95;TRANST DA MENOPAUSA E DA PERIMENOPAUSA;N80-N98;TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO;14;DOENÇAS DO APARELHO GENITURINÁRIO
C329;LARINGE NE;C32;NEOPL MALIG DA LARINGE;C30-C39;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO APARELHO RESPIRATÓRIO E DOS ÓRGÃOS 2INTRATORÁCICOS;2;NEOPLASIAS [TUMORES]
R682;BOCA SECA NE;R68;OUTR SINT E SINAIS GERAIS;R50-R69;SINTOMAS E SINAIS GERAIS;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
S924;FRAT DO HALUX;S92;FRAT DO PE;S90-S99;TRAUMATISMOS DO TORNOZELO E DO PÉ;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
C786;NEOPL MALIG SECUND RETRO- E PERITONIO;C78;NEOPL MALIG SECUND ORG RESPIRAT E DIGESTIVOS;C76-C80;NEOPLASIAS [TUMORES] MALIGNAS(OS) DE LOCALIZAÇÕES MAL DEFINIDAS, SECUNDÁRIAS E DE LOCALIZAÇÕES NÃO ESPECIFICADAS;2;NEOPLASIAS [TUMORES]
P379;DOENC INFECC OU PARASIT CONGEN NE;P37;OUTR DOENC INFECC E PARASIT CONGEN;P35-P39;INFECÇÕES ESPECÍFICAS DO PERÍODO PERINATAL;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
A544;INFECC GONOCOCICA SIST MUSCULO-ESQUELETICO;A54;INFECC GONOCOCICA;A50-A64;INFECÇÕES DE TRANSMISSÃO PREDOMINANTEMENTE SEXUAL;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
P233;PNEUMONIA CONGEN DEV ESTREPTOCOCO DO GRUPO B;P23;PNEUMONIA CONGEN;P20-P29;TRANSTORNOS RESPIRATÓRIOS E CARDIOVASCULARES ESPECÍFICOS DO PERÍODO PERINATAL;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
T253;QUEIM DE 3.GRAU DO TORNOZELO E DO PE;T25;QUEIM E CORROSAO DO TORNOZELO E DO PE;T20-T25;QUEIMADURAS E CORROSÕES DA SUPERFÍCIE EXTERNA DO CORPO, ESPECIFICADAS POR LOCAL;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
E039;HIPOTIREOIDISMO NE;E03;OUTR HIPOTIREOIDISMOS;E00-E07;TRANSTORNOS DA GLÂNDULA TIREÓIDE;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
N953;CONDICOES ASSOC C/A MENOPAUSA ARTIFICIAL;N95;TRANST DA MENOPAUSA E DA PERIMENOPAUSA;N80-N98;TRANSTORNOS NÃO-INFLAMATÓRIOS DO TRATO GENITAL FEMININO;14;DOENÇAS DO APARELHO GENITURINÁRIO
C773;GANGLIOS LINFATICOS AXILARES E MEMBROS SUPER;C77;NEOPL MALIG SECUND E NE GANGL LINFATICOS;C76-C80;NEOPLASIAS [TUMORES] MALIGNAS(OS) DE LOCALIZAÇÕES MAL DEFINIDAS, SECUNDÁRIAS E DE LOCALIZAÇÕES NÃO ESPECIFICADAS;2;NEOPLASIAS [TUMORES]
Q548;OUTR HIPOSPADIAS;Q54;HIPOSPADIAS;Q50-Q56;MALFORMAÇÕES CONGÊNITAS DOS ÓRGÃOS GENITAIS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
G471;DISTURBIOS DO SONO P/SONOLENCIA EXCESSIVA;G47;DISTURBIOS DO SONO;G40-G47;TRANSTORNOS EPISÓDICOS E PAROXÍSTICOS;6;DOENÇAS DO SISTEMA NERVOSO
K108;OUTR DOENC ESPEC DOS MAXILARES;K10;OUTR DOENC DOS MAXILARES;K00-K14;DOENÇAS DA CAVIDADE ORAL, DAS GLÂNDULAS SALIVARES E DOS MAXILARES;11;DOENÇAS DO APARELHO DIGESTIVO
Q82;OUTR MALFORMACOES CONGEN DA PELE;Q82;OUTR MALFORMACOES CONGEN DA PELE;Q80-Q89;OUTRAS MALFORMAÇÕES CONGÊNITAS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
W56;CONTATO C/ANIMAIS MARINHOS;W56;CONTATO C/ANIMAIS MARINHOS;W50-W64;EXPOSIÇÃO A FORÇAS MECÂNICAS ANIMADAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
N46;INFERTILIDADE MASC;N46;INFERTILIDADE MASC;N40-N51;DOENÇAS DOS ÓRGÃOS GENITAIS MASCULINOS;14;DOENÇAS DO APARELHO GENITURINÁRIO
G558;COMPRESS RAIZES PLEXOS NERV OUTR DOENC COP;G55;COMPRESSOES RAIZES PLEXOS NERVOSOS DOENC COP;G50-G59;TRANSTORNOS DOS NERVOS, DAS RAÍZES E DOS PLEXOS NERVOSOS;6;DOENÇAS DO SISTEMA NERVOSO
O089;COMPLIC CONSEQ ABORTO GRAV ECTOPICA MOLAR NE;O08;COMPLIC CONSEQ ABORTO GRAVIDEZ ECTOP MOLAR;O00-O08;GRAVIDEZ QUE TERMINA EM ABORTO;15;GRAVIDEZ, PARTO E PUERPÉRIO
G308;OUTR FORM DE DOENC DE ALZHEIMER;G30;DOENC DE ALZHEIMER;G30-G32;OUTRAS DOENÇAS DEGENERATIVAS DO SISTEMA NERVOSO;6;DOENÇAS DO SISTEMA NERVOSO
X140;RESIDENCIA;X14;CONTATO C/AR E GASES QUENTES;X10-X19;CONTATO COM UMA FONTE DE CALOR OU COM SUBSTÂNCIAS QUENTES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X571;HABITACAO COLETIVA;X57;PRIVACAO NE;X50-X57;EXCESSO DE ESFORÇOS, VIAGENS E PRIVAÇÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
R268;OUTR ANORMALIDADES MARCHA E MOBILIDADE E NE;R26;ANORMALIDADES DA MARCHA E DA MOBILIDADE;R25-R29;SINTOMAS E SINAIS RELATIVOS AOS SISTEMAS NERVOSO E OSTEOMUSCULAR;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
X130;RESIDENCIA;X13;CONTATO C/VAPOR DAGUA E C/VAPORES QUENTES;X10-X19;CONTATO COM UMA FONTE DE CALOR OU COM SUBSTÂNCIAS QUENTES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
T570;ARSENICO E SEUS COMPOSTOS;T57;EFEITO TOXICO DE OUTR SUBST INORGANICAS;T51-T65;EFEITOS TÓXICOS DE SUBSTÂNCIAS DE ORIGEM PREDOMINANTEMENTE NÃO MEDICINAL;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
T918;SEQUELAS OUTR TRAUM ESPEC PESCOCO E TRONCO;T91;SEQUELAS DE TRAUM DO PESCOCO E DO TRONCO;T90-T98;SEQÜELAS DE TRAUMATISMOS, DE INTOXICAÇÕES E DE OUTRAS CONSEQÜÊNCIAS DAS CAUSAS EXTERNAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
W657;FAZENDA;W65;AFOGAMENTO SUBMERSAO DURANTE BANHO BANHEIRA;W65-W74;AFOGAMENTO E SUBMERSÃO ACIDENTAIS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M15;POLIARTROSE;M15;POLIARTROSE;M15-M19;ARTROSES;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
V611;PASSAGEIRO ACID N-TRANS;V61;OCUP VEIC TRANSP PESADO TRAUM COL VEIC PEDAL;V60-V69;OCUPANTE DE UM VEÍCULO DE TRANSPORTE PESADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M25;OUTR TRANST ARTICULARES NCOP;M25;OUTR TRANST ARTICULARES NCOP;M20-M25;OUTROS TRANSTORNOS ARTICULARES;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
R59;AUMENTO DE VOLUME DOS GANGLIOS LINFATICOS;R59;AUMENTO DE VOLUME DOS GANGLIOS LINFATICOS;R50-R69;SINTOMAS E SINAIS GERAIS;18;SINTOMAS, SINAIS E ACHADOS ANORMAIS DE EXAMES CLÍNICOS E DE LABORATÓRIO, NÃO CLASSIFICADOS
F154;SINDR DE ABSTINENCIA C/DELIRIUM;F15;TRANST MENT COMP USO OUTR ESTIM INCL CAFEINA;F10-F19;TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDOS AO USO DE SUBSTÂNCIA PSICOATIVA;5;TRANSTORNOS MENTAIS E COMPORTAMENTAIS
W794;RUA E ESTRADA;W79;INALACAO INGEST ALIMENT CAUS OBSTR TRAT RESP;W75-W84;OUTROS RISCOS ACIDENTAIS À RESPIRAÇÃO;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X875;AREAS DE COMERCIO E DE SERVICOS;X87;AGRESSAO P/PESTICIDAS;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
I41;MIOCARDITE EM DOENC COP;I41;MIOCARDITE EM DOENC COP;I30-I52;OUTRAS FORMAS DE DOENÇA DO CORAÇÃO;9;DOENÇAS DO APARELHO CIRCULATÓRIO
M878;OUTR OSTEONECROSES;M87;OSTEONECROSE;M86-M90;OUTRAS OSTEOPATIAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
T329;CORROSOES ENVOLV 90% OU MAIS SUPERF CORPORAL;T32;CORROSOES CLASSIF SEG EXT SUPERF CORP ATING;T29-T32;QUEIMADURAS E CORROSÕES DE MÚLTIPLAS REGIÕES E DE REGIÕES NÃO ESPECIFICADAS DO CORPO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
V744;PESSOA AO SUBIR OU DESCER DO VEIC;V74;OCUP ONIBUS TRAUM COLIS VEIC TRANSP PES ONIB;V70-V79;OCUPANTE DE UM ÔNIBUS TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
G900;NEUROPATIA AUTONOMICA PERIFERICA IDIOPATICA;G90;TRANST DO SIST NERVOSO AUTONOMO;G90-G99;OUTROS TRANSTORNOS DO SISTEMA NERVOSO;6;DOENÇAS DO SISTEMA NERVOSO
T980;SEQUELAS EFEIT PENETR CORPO ESTRANH ORIF NAT;T98;SEQUELAS OUTR EFEITOS CAUSAS EXTERNAS E NE;T90-T98;SEQÜELAS DE TRAUMATISMOS, DE INTOXICAÇÕES E DE OUTRAS CONSEQÜÊNCIAS DAS CAUSAS EXTERNAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
Y040;RESIDENCIA;Y04;AGRESSAO P/MEIO DE FORCA CORPORAL;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
T509;OUTR DROGAS MEDICAMENTOS SUBST BIOLOG E NE;T50;INTOX DIURET OUT DROG MEDIC SUBST BIOLOG NE;T36-T50;INTOXICAÇÃO POR DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
S543;TRAUM NERVO CUTANEO SENSITIVO NIV ANTEBRACO;S54;TRAUM DE NERVOS AO NIVEL DO ANTEBRACO;S50-S59;TRAUMATISMOS DO COTOVELO E DO ANTEBRAÇO;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
M812;OSTEOPOROSE DE DESUSO;M81;OSTEOPOROSE S/FRAT PATOLOGICA;M80-M85;TRANSTORNOS DA DENSIDADE E DA ESTRUTURA ÓSSEA;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
O69;TRAB PARTO PARTO COMPL ANORM CORDAO UMBILIC;O69;TRAB PARTO PARTO COMPL ANORM CORDAO UMBILIC;O60-O75;COMPLICAÇÕES DO TRABALHO DE PARTO E DO PARTO;15;GRAVIDEZ, PARTO E PUERPÉRIO
E168;OUTR TRANST ESPEC SECRECAO PANCREATICA INT;E16;OUTR TRANST DA SECRECAO PANCREATICA INTERNA;E15-E16;OUTROS TRANSTORNOS DA REGULAÇÃO DA GLICOSE E DA SECREÇÃO PANCREÁTICA INTERNA;4;DOENÇAS ENDÓCRINAS, NUTRICIONAIS E METABÓLICAS
A270;LEPTOPIROSE ICTEROHEMORRAGICA;A27;LEPTOSPIROSE;A20-A28;ALGUMAS DOENÇAS BACTERIANAS ZOONÓTICAS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
H313;HEMORRAGIA E ROTURA DA COROIDE;H31;OUTR TRANST DA COROIDE;H30-H36;TRANSTORNOS DA CORÓIDE E DA RETINA;7;DOENÇAS DO OLHO E ANEXOS
B966;BACILLUS FRAGILIS COMO DOENC CLASS OUTR CAP;B96;OUTR AGENT BACTER CAUSA DOENC CLASS OUTR CAP;B95-B97;AGENTES DE INFECÇÕES BACTERIANAS, VIRAIS E OUTROS AGENTES INFECCIOSOS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
Z538;PROCED NAO REALIZADO P/OUTR RAZOES;Z53;PESSOAS CONT SERV SAUDE PROCED ESP N REALIZ;Z40-Z54;PESSOAS EM CONTATO COM OS SERVIÇOS DE SAÚDE PARA PROCEDIMENTOS E CUIDADOS ESPECÍFICOS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
Z269;NECESS IMUNIZ CONTRA DOENC INFECC NE;Z26;NECESS IMUNIZ OUTR DOENC INFECC UNICAS;Z20-Z29;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM DOENÇAS TRANSMISSÍVEIS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
Y603;DURANTE INJECAO OU VACINACAO;Y60;CORT PUNC PERF HEMORR ACID CUID MED CIRURG;Y60-Y69;ACIDENTES OCORRIDOS EM PACIENTES DURANTE A PRESTAÇÃO DE CUIDADOS MÉDICOS E CIRÚRGICOS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
B011;ENCEFALITE P/VARICELA;B01;VARICELA;B00-B09;INFECÇÕES VIRAIS CARACTERIZADAS POR LESÕES DE PELE E MUCOSAS;1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
X32;EXPOSICAO A LUZ SOLAR;X32;EXPOSICAO A LUZ SOLAR;X30-X39;EXPOSIÇÃO ÀS FORÇAS DA NATUREZA;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
H420;GLAUCOMA EM DOENC ENDOCR NUTRIC E METAB COP;H42;GLAUCOMA EM DOENC COP;H40-H42;GLAUCOMA;7;DOENÇAS DO OLHO E ANEXOS
T834;COMPLIC MEC OUT DISP PROT IMPL ENX TRAT GEN;T83;COMPLIC DISP PROT IMPL ENX GENITURIN INT;T80-T88;COMPLICAÇÕES DE CUIDADOS MÉDICOS E CIRÚRGICOS, NÃO CLASSIFICADOS EM OUTRA PARTE;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
H211;OUTR TRANST VASCULARES IRIS E CORPO CILIAR;H21;OUTR TRANST DA IRIS E DO CORPO CILIAR;H15-H22;TRANSTORNOS DA ESCLERÓTICA, DA CÓRNEA, DA ÍRIS E DO CORPO CILIAR;7;DOENÇAS DO OLHO E ANEXOS
W87;EXPOSICAO A CORRENTE ELETRICA NE;W87;EXPOSICAO A CORRENTE ELETRICA NE;W85-W99;EXPOSIÇÃO À CORRENTE ELÉTRICA, À RADIAÇÃO E ÀS TEMPERATURAS E PRESSÕES EXTREMAS DO AMBIENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
Z632;SUPORTE FAMILIAR INADEQUADO;Z63;OUTR PROBL REL GRUPO PRIM APOIO INCL SIT FAM;Z55-Z65;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM CIRCUNSTÂNCIAS SOCIOECONÔMICAS E PSICOSSOCIAIS;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
X952;ESCOLAS OUTR INSTIT AREAS ADMIN PUBLICA;X95;AGRESSAO DISPARO OUTR ARMA DE FOGO OU NE;X85-Y09;AGRESSÕES;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
L258;DERMATITE DE CONTATO NE DEV OUTR AGENTES;L25;DERMATITE DE CONTATO NE;L20-L30;DERMATITE E ECZEMA;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
Y409;ANTIBIOTICO SISTEMICO NE;Y40;ANTIBIOTICOS SISTEMICOS;Y40-Y59;"EFEITOS ADVERSOS DE DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS USADAS COM FINALIDADE TERAPÊUTICA;EF ADVERS DROG, MEDIC E SUBST BIOLÓG FINALID TERAP";20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
S242;TRAUM DA RAIZ DE NERVO DA COLUNA TORACICA;S24;TRAUM NERVOS E MEDULA ESPINHAL NIVEL TORAX;S20-S29;TRAUMATISMOS DO TÓRAX;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
Z954;PRESENCA OUTR SUBST VALVARES CARDIACAS;Z95;PRESENCA IMPLANTES ENXERTOS CARDIACOS VASC;Z80-Z99;PESSOAS COM RISCOS POTENCIAIS À SAÚDE RELACIONADOS COM HISTÓRIA FAMILIAR E PESSOAL E ALGUMAS AFECÇÕES QUE INFLUENCIAM O ESTADO DE SAÚDE;21;FATORES QUE INFLUEN. O ESTADO DE SAÚDE E O CONTATO COM OS SERVIÇOS DE SAÚDE
B231;DOENC P/HIV RESULT LINFADENOPATIAS GENERALIZ;B23;DOENC P/HIV RESULT EM OUTR DOENC;B20-B24;DOENÇAS PELO VÍRUS DA IMUNODEFICIÊNCIA HUMANA [HIV];1;ALGUMAS DOENÇAS INFECCIOSAS E PARASITÁRIAS
Y446;SANGUE NATURAL E PRODUTOS DO SANGUE;Y44;SUBST FARM ATUAM PRIM S/CONSTIT SANGUE;Y40-Y59;"EFEITOS ADVERSOS DE DROGAS, MEDICAMENTOS E SUBSTÂNCIAS BIOLÓGICAS USADAS COM FINALIDADE TERAPÊUTICA;EF ADVERS DROG, MEDIC E SUBST BIOLÓG FINALID TERAP";20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
M032;OUTR ARTROPATIAS POS-INFECC EM DOENC COP;M03;ARTROPATIAS POS-INFECC REAC DOENC INFECC COP;M00-M03;ARTROPATIAS INFECCIOSAS;13;DOENÇAS DO SISTEMA OSTEOMUSCULAR E DO TECIDO CONJUNTIVO
Q843;ANONIQUIA;Q84;OUTR MALFORMACOES CONGEN DO TEGUMENTO;Q80-Q89;OUTRAS MALFORMAÇÕES CONGÊNITAS;17;MALFORMAÇÕES CONGÊNITAS, DEFORMIDADES E ANOMALIAS CROMOSSÔMICAS
V317;PESSOA VIAJANDO EXT VEIC ACID TRANS;V31;OCUP TRICICL MOTORIZ TRAUM COLIS VEIC PEDAL;V30-V39;OCUPANTE DE TRICICLO MOTORIZADO TRAUMATIZADO EM UM ACIDENTE DE TRANSPORTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
S834;ENTORSE DISTENSAO ENVOLV LIG COLAT JOELHO;S83;LUXACAO ENTORSE DISTENSAO ART LIG JOELHO;S80-S89;TRAUMATISMOS DO JOELHO E DA PERNA;19;LESÕES, ENVENENAMENTO E ALGUMAS OUTRAS CONSEQ. DE CAUSAS EXTERNAS
L13;OUTR AFECCOES BOLHOSAS;L13;OUTR AFECCOES BOLHOSAS;L10-L14;AFECÇÕES BOLHOSAS;12;DOENÇAS DA PELE E DO TECIDO SUBCUTÂNEO
K560;ILEO PARALITICO;K56;ILEO PARALITICO E OBSTR INTESTINAL S/HERNIA;K55-K63;OUTRAS DOENÇAS DOS INTESTINOS;11;DOENÇAS DO APARELHO DIGESTIVO
X73;LES AUTOPROV INT DISP ARM FOG MAIOR CALIBRE;X73;LES AUTOPROV INT DISP ARM FOG MAIOR CALIBRE;X60-X84;LESÕES AUTOPROVOCADAS INTENCIONALMENTE;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
X432;ESCOLAS OUTR INSTIT AREAS ADMIN PUBLICA;X43;ENVENEN ACID OUTR SUBST FARM SIST NERV AUTON;X40-X49;ENVENENAMENTO [INTOXICAÇÃO] ACIDENTAL POR E EXPOSIÇÃO À SUBSTÂNCIAS NOCIVAS;20;CAUSAS EXTERNAS DE MORBIDADE E DE MORTALIDADE
P923;SUBALIMENTACAO DO RECEM-NASCIDO;P92;PROBLEMAS DE ALIMENTACAO DO RECEM-NASCIDO;P90-P96;OUTROS TRANSTORNOS ORIGINADOS NO PERÍODO PERINATAL;16;ALGUMAS AFECÇÕES ORIGINADAS NO PERÍODO PERINATAL
C952;LEUCEMIA SUBAGUDA DE TIPO CELULAR NE;C95;LEUCEMIA DE TIPO CELULAR NE;C81-C96;NEOPLASIAS [TUMORES] MALIGNAS(OS) DO TECIDO LINFÁTICO, HEMATOPOÉTICO E DE TECIDOS CORRELATOS;2;NEOPLASIAS [TUMORES]
I724;ANEURISMA DE ARTERIA DOS MEMBROS INFER;I72;OUTR ANEURISMAS;I70-I79;DOENÇAS DAS ARTÉRIAS, DAS ARTERÍOLAS E DOS CAPILARES;9;DOENÇAS DO APARELHO CIRCULATÓRIO
N642;ATROFIA DA MAMA;N64;OUTR DOENC DA MAMA;N60-N64;DOENÇAS DA MAMA;14;DOENÇAS DO APARELHO GENITURINÁRIO
